Article_Number,Spatial_Scale,Primary_Enviro_Variable,Secondary_Enviro_Variable,Primary_Management_Type,Secondary_Management_Type,Third_Management_Type,Primary_Farm_Type,Secondary_Farm_Type,Primary_Farm_Specific,Secondary_Farm_Specific,Continent,Country,Climate,Biome,Lat,Long,Primary_Habitat,Secondary_Habitat,Primary_Taxon,Secondary_Taxon,Third_Taxon,Primary_Ecosystem_Service,Secondary_Ecosystem_Service,Primary_Method,Secondary_Method,Third_Method,Primary_Result,Secondary_Result,Third_Result,Fourth_Result,Functional_Groups,Primary_Functional,Secondary_Functional,Third_Functional,Notes
156,Both,Proportion_Habitat,Proportion_Veg,Intensively_Managed,NA,NA,Livestock,NA,Horse_Grazing,Cattle_Grazing,Europe,Sweden,Boreal,Boreal,56.616667,14.183333,Grassland,Conifer_Forests,Hymenoptera,Lepidoptera,NA,Pollination,NA,Visual,NA,NA,Richness,NA,NA,NA,No,NA,NA,NA,
157,No_Enviro_Variable,NA,NA,Conventional,IPM,NA,Orchid,NA,Apple,NA,Asia,Israel,Mediterrane,Mediterrane,NA,NA,NA,NA,Aphididae,NA,NA,Pests_Herbivory,NA,Visual,NA,NA,Occurrence,Density,NA,NA,No,NA,NA,NA,
158,Both,Proportion_Impervious_Surfaces,Proportion_Flowers,Intensity_Gradient,NA,NA,Cropping,Veg_Fruit_Ground,Various_Crops,Various_Veg,Africa,Tanzania,Tropical_Subtropical,Tropical_Subtropical_Grasslands,NA,NA,Grassland,Forest,Hymenoptera,Diptera,NA,Pollination,NA,Pan_trap,Sweep_Netting,Metabarcoding,Richness,Insect_Flower_Interactions,NA,NA,No,NA,NA,NA,
159,Both,Proportion_Habitat,Proportion_Farming,Intensity_Gradient,NA,NA,Orchid,NA,Kiwi,NA,Europe,Portugal,Temperate,Temperate_Forest,NA,NA,Forest,NA,Hymenoptera,Diptera,NA,Pollination,NA,Visual,NA,NA,Diversity,Abundance,Richness,NA,No,NA,NA,NA,
160,Site,Soil_Properties,NA,Unspecified,IPM,NA,Veg_Fruit_Ground,NA,Vineyard,NA,Europe,Spain,Mediterrane,Mediterrane,42.433333,-2.5,NA,NA,Nematoda,NA,NA,Natural_Enemies,NA,Soil_Monoliths,NA,NA,Occurrence,Abundance,NA,NA,Yes,Feeding_Stratergy,NA,NA,
161,Site,Water,Veg_Height,Unspecified,NA,NA,Agroforestry,NA,Oil_Palm_Plantation,NA,Asia,Malaysia,Tropical_Subtropical,Tropical_Subtropical_Forest,3.812525,101.015558,NA,NA,Hemiptera,NA,NA,Natural_Enemies,NA,Sweep_Netting,NA,NA,Abundance,NA,NA,NA,No,NA,NA,NA,
162,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Agroforestry,NA,Eucalyptus_Plantation,NA,Oceania,Australia,Temperate,Temperate_Forest,-33.610833,150.742222,NA,NA,Nematoda,Acari,NA,Decomp_Soil_Properties,NA,Soil_Monoliths,NA,NA,Abundance,Composition,NA,NA,Yes,Trophic_Group,NA,NA,
163,No_Enviro_Variable,NA,NA,Conventional,IPM,NA,Cropping,NA,Grass,NA,Europe,UK,Temperate,Temperate_Forest,52.300758,-0.764675,NA,NA,Acari,Collembola,NA,Decomp_Soil_Properties,NA,Soil_Monoliths,NA,NA,Abundance,Composition,NA,NA,No,NA,NA,NA,
164,No_Enviro_Variable,NA,NA,Conventional,NA,NA,Agroforestry,NA,Teak_Plantation,NA,Africa,Côte_d’Ivoire,Tropical_Subtropical,Tropical_Subtropical_Forest,6.5,-5.516667,Forest,NA,Formicidae,NA,NA,Decomp_Soil_Properties,Bio_Indicators,Pitfall_trap,Leaf_Litter_Sample,Soil_Monoliths,Occurrence,Richness,Composition,NA,No,NA,NA,NA,
165,Both,Flower_Diversity,Landscape_Intensity,RBAPS,NA,NA,Livestock,NA,Cattle_Grazing,NA,Europe,Ireland,Temperate,Temperate_Forest,5.001167,-9.000333,Grassland,NA,Hymenoptera,Diptera,Lepidoptera,Pollination,NA,Visual,Pan_Trap,NA,Diversity,Richness,Abundance,NA,No,NA,NA,NA,
166,No_Enviro_Variable,NA,NA,Unspecified,IPM,NA,Cropping,NA,Various_Crops,NA,Europe,England,Temperate,Temperate_Forest,NA,NA,Grassland,Woodland,Hymenoptera,Diptera,Lepidoptera,Pollination,NA,Visual,NA,NA,Insect_Flower_Interactions,NA,NA,NA,No,NA,NA,NA,
167,No_Enviro_Variable,NA,NA,Intensively_Managed,NA,NA,Cropping,Veg_Fruit_Ground,Wheat,Bean,Europe,England,Temperate,Temperate_Forest,NA,NA,NA,NA,Hymenoptera,NA,NA,Pollination,NA,Visual,NA,NA,Abundance,Insect_Flower_Interactions,NA,NA,No,NA,NA,NA,
168,No_Enviro_Variable,NA,NA,AgEnviroScheme,NA,NA,Unspecified,NA,Unspecified,NA,Europe,UK,Temperate,Temperate_Forest,NA,NA,NA,NA,Hymenoptera,NA,NA,Pollination,NA,Visual,NA,NA,Insect_Flower_Interactions,Abundance,NA,NA,No,NA,NA,NA,
169,Site,Proportion_Veg,NA,Conventional,AgEnviroScheme,NA,Livestock,NA,Dairy,NA,Europe,Multiple,Temperate,Temperate_Forest,NA,NA,Grassland,NA,Hymenoptera,NA,NA,Pollination,NA,Sweep_Netting,NA,NA,Composition,Abundance,Richness,NA,No,NA,NA,NA,
170,Landscape,Proportion_Habitat,Proportion_Farming,Gradient_Inputs,NA,NA,Livestock,NA,Cattle_Grazing,NA,North_America,Mexico,Tropical_Subtropical,Tropical_Subtropical_Forest,20.15,-97.1,Forest,Riparian,Coleoptera,NA,NA,Bio_Indicators,NA,Baited_Pitfall,NA,NA,Diversity,Richness,Biomass,,No,NA,NA,NA,
171,Landscape,Proportion_Habitat,Patch_Size,Unspecified,NA,NA,Veg_Fruit_Ground,NA,Tomato,NA,South_America,Brazil,Tropical_Subtropical,Tropical_Subtropical_Grasslands,NA,NA,Forest,Savannah,Hymenoptera,NA,NA,Pollination,NA,Visual,NA,NA,Abundance,NA,NA,NA,Yes,Size,NA,NA,
172,Landscape,Proportion_Habitat,NA,Organic,NA,NA,Cropping,NA,Buckwheat,NA,Asia,Japan,Temperate,Temperate_Forest,36.5,140.383333,Grassland,Woodland,Aphididae,Coleoptera,NA,Biological_Control,NA,Visual,Malaise_Trap,NA,Abundance,Occurrence,NA,NA,No,NA,NA,NA,
173,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Agroforestry,Cropping,Mahogany_Plantation,Rice,Asia,Indonesia,Tropical_Subtropical,Tropical_Subtropical_Forest,NA,NA,Forest,NA,Flying_Community,Plant_Dwelling,NA,Bio_Indicators,NA,Malaise_Trap,Hand_Search,Sweep_Netting,Diversity,Evenness,Dominance_Index,NA,No,NA,NA,NA,
174,No_Enviro_Variable,NA,NA,Gradient_Inputs,NA,NA,Orchid,NA,Banana,NA,North_America,Costa_Rica,Tropical_Subtropical,Tropical_Subtropical_Forest,NA,NA,Forest,NA,Flying_Community,Surface_Active,NA,Biodiversity_Ecosystem_Resilience,NA,Pitfall_trap,Pan_Trap,NA,Composition,Diversity,Richness,NA,Yes,Trophic_Group,NA,NA,
175,No_Enviro_Variable,NA,NA,Conventional,NA,NA,Cropping,NA,Quinoa,NA,South_America,Peru,Montane,Montane,-11.8425,-75.379167,NA,NA,Surface_Active,NA,NA,Biodiversity_Ecosystem_Resilience,NA,Pitfall_trap,NA,NA,Diversity,Richness,Abundance,Composition,Yes,Trophic_Group,NA,NA,
176,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Various,NA,Various,NA,North_America,USA,Temperate,Temperate_Forest,NA,NA,NA,NA,Plant_Dwelling,Flying_Community,NA,Biodiversity_Ecosystem_Resilience,NA,Sweep_Netting,Beat_Sheet,NA,Diversity,Abundance,Composition,NA,No,NA,NA,NA,
177,No_Enviro_Variable,NA,NA,Organic,Conventional,NA,Veg_Fruit_Ground,NA,Vineyard,NA,Africa,South_Africa,Mediterrane,Mediterrane,-33,18,NA,NA,Flying_Community,Plant_Dwelling,NA,Pollination,NA,Visual,NA,NA,Insect_Flower_Interactions,Richness,NA,NA,No,NA,NA,NA,
178,Landscape,Proportion_Habitat,NA,Conservation_Agriculture,NA,NA,Cropping,NA,Unspecified,NA,Europe,France,Temperate,Temperate_Forest,47.321667,5.041389,Grassland,Forest,Coleoptera,NA,NA,Natural_Enemies,NA,Pitfall_trap,NA,NA,Richness,Predation_Rate,Abundance,NA,Yes,Trophic_Group,NA,NA,Seed predation on weeds
179,No_Enviro_Variable,NA,NA,Intensity_Gradient,NA,NA,Livestock,NA,Cattle_Grazing,Dairy,Africa,South_Africa,Desert,Desert,NA,NA,Savannah,Albany_Thicket,Coleoptera,NA,NA,Bio_Indicators,NA,Baited_Pitfall,NA,NA,Abundance,Richness,Diversity,Species_Turnover,Yes,Nesting_Strategy,NA,NA,
180,Landscape,Proportion_Habitat,Patch_Complexity,Low_Input,NA,NA,Veg_Fruit_Ground,NA,Vineyard,NA,Europe,Portugal,Mediterrane,Mediterrane,NA,NA,NA,NA,Coleoptera,NA,NA,Natural_Enemies,NA,Sweep_Netting,NA,NA,Abundance,Richness,NA,NA,No,NA,NA,NA,
181,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Cropping,NA,Wheat,NA,Europe,UK,Temperate,Temperate_Forest,NA,NA,NA,NA,Coleoptera,Arachnida,Aphididae,Biological_Control,NA,Pitfall_trap,eDNA_Gut_Analysis,Suction,Predation_Rate,Food_Web,DNA_Decay_Rate,NA,No,NA,NA,NA,
182,No_Enviro_Variable,NA,NA,Organic,IPM,NA,Orchid,NA,Kiwi,NA,Oceania,New_Zealand,Temperate,Temperate_Forest,NA,NA,NA,NA,Flying_Community,Surface_Active,NA,Biodiversity_Ecosystem_Resilience,NA,Pitfall_trap,Pan_Trap,Flight_interception_traps,Composition,Least_Squares_Mean,NA,NA,Yes,Trophic_Group,NA,NA,
183,Site,Tree_Density,Tree_Richness,Organic,Conventional,NA,Orchid,Agroforestry,Mandarin,Cardamom,Asia,India,Tropical_Subtropical,Tropical_Subtropical_Forest,27.05,88.05,Forest,NA,Lepidoptera,NA,NA,Bio_Indicators,NA,Visual,NA,NA,Richness,Abundance,Diversity,NA,Yes,Specialised_Or_Not,Larval_Host_Specificity,NA,
184,Site,Shrub_Richness,Proportion_Habitat,Unspecified,NA,NA,Agroforestry,Cropping,Eucalyptus_Plantation,Various_Annual_Crops,Europe,Portugal,Mediterrane,Mediterrane,NA,NA,Riparian,Woodland,Formicidae,NA,NA,Decomp_Soil_Properties,Natural_Enemies,Pitfall_trap,NA,NA,Richness,Diversity,NA,NA,Yes,Ecosystem_Service,Diet,NA,
185,No_Enviro_Variable,NA,NA,Conventional,NA,NA,Veg_Fruit_Ground,NA,Vineyard,NA,Europe,Portugal,Mediterrane,Mediterrane,NA,NA,NA,NA,Hymenoptera,NA,NA,Biodiversity_Ecosystem_Resilience,NA,Sticky_Traps,NA,NA,Abundance,NA,NA,NA,Yes,Service_or_Disservice,NA,NA,
186,Landscape,Proportion_Habitat,Landscape_Complexity,Unspecified,NA,NA,Veg_Fruit_Ground,NA,Faba_Bean,NA,Europe,Sweden,Boreal,Boreal,NA,NA,Forest,Grassland,Hymenoptera,NA,NA,Pollination,NA,Sweep_Netting,Visual,NA,Density,Behaviour_Activity,NA,NA,No,NA,NA,NA,
187,Landscape,Landscape_Complexity,NA,Unspecified,NA,NA,Cropping,NA,Cotton,NA,Asia,China,Temperate,Temperate_Forest,NA,NA,Forest,Shrublands,Hymenoptera,Lepidoptera,NA,Biological_Control,NA,NA,NA,NA,Parasitism,NA,NA,NA,No,NA,NA,NA,
188,Landscape,Landscape_Complexity,NA,Unspecified,NA,NA,Cropping,NA,Rice,NA,Asia,Bangladesh,Tropical_Subtropical,Tropical_Subtropical_Forest,NA,NA,Forest,NA,Flying_Community,Plant_Dwelling,NA,Biodiversity_Ecosystem_Resilience,NA,Sweep_Netting,NA,NA,Diversity,Richness,Abundance,NA,Yes,Trophic_Group,NA,NA,
189,Both,Proportion_Farming,Proportion_Flowers,Organic,NA,NA,Cropping,NA,Oilseed_Rape_Fields,NA,Asia,China,Tropical_Subtropical,Tropical_Subtropical_Forest,NA,NA,Forest,Grassland,Hymenoptera,Lepidoptera,Diptera,Pollination,NA,Pan_trap,NA,NA,Abundance,Diversity,NA,NA,No,NA,NA,NA,
190,No_Enviro_Variable,Proportion_Farming,NA,Organic,Conventional,NA,Cropping,NA,Cereal,NA,Europe,Sweden,Boreal,Boreal,NA,NA,Grassland,NA,Hymenoptera,Diptera,NA,Pollination,NA,Pan_trap,NA,NA,Composition,Richness,Abundance,NA,No,NA,NA,NA,
191,Both,Proportion_Habitat,NA,Low_Input,NA,NA,Veg_Fruit_Ground,NA,Strawberry,NA,North_America,USA,Temperate,Temperate_Forest,NA,NA,Forest,NA,Hemiptera,Parasitoid,NA,Biological_Control,NA,Suction,NA,NA,Parasitism,Density,NA,NA,No,NA,NA,NA,
192,Landscape,Proportion_Habitat,Proportion_Farming,Unspecified,NA,NA,Cropping,NA,Wheat,NA,Asia,China,Temperate,Temperate_Forest,NA,NA,Woodland,Wetland,Aphididae,NA,NA,Pests_Herbivory,NA,Visual,NA,NA,Composition,Abundance,NA,NA,No,NA,NA,NA,
193,Landscape,Proportion_Habitat,Landscape_Complexity,Unspecified,NA,NA,Veg_Fruit_Ground,NA,Soybean,NA,North_America,USA,Temperate,Temperate_Forest,41.999486,-85.974158,Forest,Grassland,Aphididae,Coleoptera,NA,Biological_Control,NA,Visual,Sticky_Traps,NA,Abundance,Predation_Rate,NA,NA,No,NA,NA,NA,
194,Landscape,Proportion_Habitat,Landscape_Complexity,Gradient_Inputs,NA,NA,Agroforestry,NA,Coffee,NA,South_America,Brazil,Tropical_Subtropical,Tropical_Subtropical_Forest,NA,NA,Forest,NA,Hymenoptera,Lepidoptera,NA,Biological_Control,NA,Malaise_Trap,Baited_Bottle_Trap,Visual,Abundance,Richness,Predation_Rate,NA,No,NA,NA,NA,
195,Both,Proportion_Habitat,Flower_Species_Rich,Unspecified,NA,NA,Orchid,NA,Mango,NA,Asia,Multiple,Tropical_Subtropical,Tropical_Subtropical_Forest,NA,NA,Forest,NA,Hymenoptera,Lepidoptera,Diptera,Pollination,NA,Visual,Camera_Trap,Sweep_Netting,Richness,Insect_Flower_Interactions,NA,NA,No,NA,NA,NA,Countries = China and Thailand
196,Both,Proportion_Habitat,Proportion_Flowers,Intensively_Managed,NA,NA,Orchid,NA,Cherry,NA,Europe,Germany,Temperate,Temperate_Forest,51.339722,9.855556,Forest,Grassland,Hymenoptera,NA,NA,Pollination,NA,Visual,NA,NA,Insect_Flower_Interactions,Density,NA,NA,No,NA,NA,NA,
197,Both,Proportion_Habitat,Veg_Height,Gradient_Inputs,NA,NA,Orchid,NA,Apple,NA,Europe,Hungary,Temperate,Temperate_Forest,NA,NA,Forest,Grassland,Coleoptera,Aphididae,NA,Biological_Control,NA,Beat_Sheet,Visual,NA,Abundance,Activity,NA,NA,Yes,Trophic_Group,NA,NA,
198,Site,Proportion_Veg,Proportion_Soil_Elements,Unspecified,NA,NA,Livestock,Cropping,Cattle_Grazing,Various_Crops,Africa,South_Africa,Tropical_Subtropical,Tropical_Subtropical_Grasslands,-23.15345,30.39459,Open_Savannah,Savannah_Woodlands,Arachnida,NA,NA,Natural_Enemies,NA,Pitfall_trap,NA,NA,Richness,Diversity,NA,NA,Yes,Body_Length,Hunting_Style,Leg_Body_Ratio,
199,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Livestock,Agroforestry,Cattle_Grazing,Eucalyptus_Plantation,South_America,Brazil,Tropical_Subtropical,Tropical_Subtropical_Grasslands,NA,NA,Savannah,Forest,Hymenoptera,NA,NA,Pollination,NA,Baited_Bottle_Trap,Live_Capture,NA,Richness,Abundance,NA,NA,Yes,Size,Wing_fuctuating_asymmetry,NA,
200,Site,Veg_Height,NA,Intensity_Gradient,NA,NA,Livestock,NA,Various_Grazing,NA,Europe,Germany,Temperate,Temperate_Forest,53.033333,14.383333,Grassland,NA,Arachnida,Coleoptera,Formicidae,Natural_Enemies,NA,Sentinel_Artificial_Prey,Pitfall_trap,Baited_Pitfall,Predation_Rate,Abundance,Activity,NA,No,NA,NA,NA,
201,No_Enviro_Variable,NA,NA,Organic,NA,NA,Cropping,NA,Cotton,NA,Asia,China,Desert,Desert,44.516667,86.583333,NA,NA,Hemiptera,Plant_Dwelling,NA,Biological_Control,NA,Exclusion,Sweep_Netting,Visual,Abundance,Prey_Predator_Ratio,Biocontrol_services_index ,NA,No,NA,NA,NA,Biocontrol_services_index = probability of biocontol services
202,Landscape,Proportion_Habitat,Proportion_Farming,Organic,Conventional,NA,Orchid,NA,Apple,NA,Europe,Terceira_Island,Temperate,Temperate_Forest,NA,NA,Forest,NA,Hymenoptera,Diptera,Coleoptera,Pollination,NA,Pan_trap,Visual,NA,Richness,Diversity,Abundance,Insect_Flower_Interactions,No,NA,NA,NA,
203,Site,Habitat_Quality,Veg_Species_Rich,Intensity_Gradient,NA,NA,Livestock,NA,Cattle_Grazing,Sheep_Grazing,Europe,Ireland,Temperate,Temperate_Forest,54.1553,-8.6065,NA,NA,Diptera,NA,NA,Pollination,Bio_Indicators,Malaise_Trap,NA,NA,Richness,Abundance,NA,NA,No,NA,NA,NA,
204,Site,Veg_Height,Veg_Chemical_Make_Up,Unspecified,NA,NA,Livestock,NA,Cattle_Grazing,Sheep_Grazing,Europe,France,Temperate,Temperate_Forest,-45.04,6.34,Alpine,NA,Orthoptera,NA,NA,Pests_Herbivory,NA,Biocenometer,NA,NA,Composition,Diversity,NA,NA,Yes,Body_Length,Diet,Number_Lavel_Stages,
205,Site,Proportion_Flowers,Flower_Species_Rich,Unspecified,NA,NA,Livestock,NA,Cattle_Grazing,NA,North_America,USA,Temperate,Temperate_Grasslands,NA,NA,Prairie,NA,Hymenoptera,NA,NA,Pollination,NA,Vane_Trap,NA,NA,Richness,Abundance,Diversity,NA,Yes,Size,Nesting_Strategy,Social_Behaviour,
206,Landscape,Proportion_Farming,NA,Low_Input,NA,NA,Cropping,NA,Cereal,NA,Europe,Spain,Mediterrane,Mediterrane,42.183333,2.483333,Forest,NA,Hymenoptera,Parasitoid,NA,Pollination,Biological_Control,Artifical_Nest_Caverties,NA,NA,Composition,Abundance,Richness,Parasitism,No,NA,NA,NA,
207,Both,Proportion_Farming,Flower_Abundance,Intensity_Gradient,NA,NA,Agroforestry,NA,Coffee,Sugarcane,South_America,Colombia,Tropical_Subtropical,Tropical_Subtropical_Forest,NA,NA,Forest,NA,Hymenoptera,NA,NA,Pollination,NA,Live_Capture,NA,NA,Abundance,Diversity,Composition,Richness,No,NA,NA,NA,
208,Both,Proportion_Flowers,Flower_Avalibility,Intensity_Gradient,NA,NA,Unspecified,NA,Unspecified,NA,Europe,Multiple,Temperate,Temperate_Forest,NA,NA,Forest,Grassland,Hymenoptera,NA,NA,Pollination,NA,Visual,NA,NA,Abundance,Richness,NA,NA,No,NA,NA,NA,
209,Landscape,Distance_To_Habitat,NA,Organic,Conventional,NA,Cropping,NA,Pigeonpea,Maize,Africa,Kenya,Tropical_Subtropical,Tropical_Subtropical_Grasslands,-2.25,37.75,Woody_Thicket,NA,Hymenoptera,Plant_Dwelling,Surface_Active,Pollination,Biological_Control,Pan_trap,Pitfall_trap,Beat_Sheet,Abundance,Richness,Insect_Flower_Interactions,NA,No,NA,NA,NA,
210,Site,Proportion_Flowers,Proportion_Veg,Unspecified,NA,NA,Agroforestry,NA,Pine_Plantation,Spruce_Plantation,Europe,Finland,Boreal,Boreal,NA,NA,NA,NA,Hymenoptera,Lepidoptera,NA,Pollination,NA,Visual,NA,NA,Abundance,Richness,Composition,NA,Yes,Specialised_Or_Not,NA,NA,
211,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Cropping,NA,Maize,NA,Asia,China,Various,Various,NA,NA,NA,NA,Apocrita,Lepidoptera,NA,Biological_Control,NA,Live_Capture,NA,NA,Abundance,Richness,Occurrence,NA,No,NA,NA,NA,
212,Site,Water_Properties,Proportion_Veg,Mixed_Input,NA,NA,Cropping,Agroforestry,Sugarcane,Pine_Plantation,Africa,South_Africa,Montane,Montane,-29.933656,30.525319,NA,NA,Odonata,Coleoptera,NA,Bio_Indicators,NA,Visual,Sweep_Netting,NA,Richness,Composition,NA,NA,No,NA,NA,NA,
213,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Cropping,NA,Maize,Cotton,Asia,China,Temperate,Temperate_Forest,39.53,116.7,NA,NA,Coleoptera,Hemiptera,NA,Biological_Control,NA,Visual,Live_Capture,NA,Density,Reproduction,NA,NA,No,NA,NA,NA,Reproduction = oviposition preference
214,Site,Soil_Properties,NA,Intensity_Gradient,NA,NA,Orchid,Cropping,Apple,Grass_for_Hay,Europe,Italy,Temperate,Temperate_Forest,NA,NA,NA,NA,Endogeic_Community,NA,NA,Decomp_Soil_Properties,NA,Heat_Extractor,NA,NA,Richness,Diversity,Composition,NA,No,NA,NA,NA,
215,Both,Landscape_Complexity,Proportion_Flowers,Intensity_Gradient,NA,NA,Livestock,NA,Cattle_Grazing,Sheep_Grazing,Europe,Spain,Mediterrane,Mediterrane,39.0270587,-6.81898585,NA,NA,Hymenoptera,Diptera,NA,Pollination,NA,Visual,NA,NA,Richness,Diversity,Abundance,NA,Yes,Nesting_Strategy,Social_Behaviour,Pollen_Collection_Behaviour,
216,No_Enviro_Variable,NA,NA,Organic,Conventional,NA,Orchid,NA,Avocado,NA,South_America,Mexico,Tropical_Subtropical,Tropical_Subtropical_Forest,NA,NA,Forest,NA,Hymenoptera,Diptera,NA,Pollination,NA,Visual,NA,NA,Richness,Diversity,NA,NA,No,NA,NA,NA,
217,Both,MEM,Elevation,Mixed_Input,NA,NA,Veg_Fruit_Ground,NA,Vineyard,NA,Europe,Switzerland,Temperate,Temperate_Forest,46.35,8.95,Forest,Alpine,Hemiptera,NA,NA,Bio_Indicators,NA,Pitfall_trap,Suction,Sweep_Netting,Abundance,Composition,NA,NA,Yes,Diet,Dispersal_Capacity,Generations_per_year,
218,Site,Flower_Avalibility,NA,IPM,NA,NA,Silvoarable,NA,Apple,Barely,Europe,England,Temperate,Temperate_Forest,52.988611,-0.910556,NA,NA,Plant_Dwelling,Surface_Active,Hymenoptera,Biological_Control,Pollination,Pitfall_trap,Sticky_Traps,Visual,Richness,Diversity,Abundance,Insect_Flower_Interactions,No,NA,NA,NA,
219,Both,Proportion_Flowers,Proportion_Farming,Organic,IPM,NA,Orchid,NA,Apple,NA,Europe,Multiple,Temperate,Temperate_Forest,NA,NA,Forest,NA,Plant_Dwelling,Hymenoptera,NA,Pollination,Biological_Control,Beat_Sheet,Visual,NA,Richness,Abundance,Insect_Flower_Interactions,NA,No,NA,NA,NA,
220,Both,Proportion_Flowers,Proportion_Habitat,Organic,Conventional,NA,Cropping,NA,Various_Crops,NA,Europe,England,Temperate,Temperate_Forest,NA,NA,Woodland,NA,Hymenoptera,Lepidoptera,Diptera,Pollination,NA,Visual,NA,NA,Abundance,Richness,NA,NA,No,NA,NA,NA,
221,Both,Proportion_Habitat,Proportion_Flowers,Unspecified,NA,NA,Cropping,NA,Oilseed_Rape_Fields,Sunflower,Europe,Multiple,Temperate,Temperate_Forest,NA,NA,Forest,Grassland,Hymenoptera,Diptera,NA,Pollination,NA,Visual,NA,NA,Density,NA,NA,NA,No,NA,NA,NA,
222,Landscape,Landscape_Complexity,NA,Unspecified,NA,NA,Cropping,NA,Ethiopian_Mustard,NA,North_America,USA,Temperate,Temperate_Grasslands,44.301122,-96.923428,NA,NA,Hymenoptera,Plant_Dwelling,NA,Pollination,Biological_Control,Sweep_Netting,NA,NA,Diversity,NA,NA,NA,No,NA,NA,NA,
223,No_Enviro_Variable,NA,NA,Conventional,NA,NA,Cropping,NA,Maize,NA,Europe,Germany,Temperate,Temperate_Forest,NA,NA,NA,NA,Hymenoptera,Diptera,Coleoptera,Pollination,Biological_Control,Pan_trap,Visual,NA,Diversity,Richness,Abundance,Evenness,Yes,Trophic_Group,NA,NA,
224,Landscape,Landscape_Complexity,NA,Intensity_Gradient,NA,NA,Cropping,NA,Wheat,NA,Europe,Hungary,Temperate,Temperate_Forest,NA,NA,Grassland,Forest,Aphididae,Arachnida,Coleoptera,Biological_Control,NA,Visual,Pitfall_trap,NA,Abundance,NA,NA,NA,No,NA,NA,NA,
225,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Cropping,Orchid,Mango,Citrus,Europe,Terceira_Island,Temperate,Temperate_Forest,38.638,-27.015,NA,NA,Surface_Active,Plant_Dwelling,NA,Biodiversity_Ecosystem_Resilience,NA,Pitfall_trap,Visual,NA,Abundance,NA,NA,NA,Yes,Trophic_Group,NA,NA,
226,Site,Soil_Properties,NA,Unspecified,NA,NA,Cropping,Livestock,Unspecified,Unspecified,South_America,Brazil,Tropical_Subtropical,Tropical_Subtropical_Forest,-27.799383,-50.595717,Forest,NA,Coleoptera,NA,NA,Decomp_Soil_Properties,Natural_Enemies,Soil_Monoliths,Pitfall_trap,NA,Density,Abundance,Diversity,Composition,Yes,Size,Dispersal_Capacity,Eyes_Presence_Absence ,
227,Site,Veg_Diversity,NA,Unspecified,NA,NA,Cropping,NA,Maize,Switchgrass,North_America,USA,Temperate,Temperate_Grasslands,NA,NA,Prairie,NA,Lepidoptera,NA,NA,Food_Source,Pollination,Light_trap,NA,NA,Diversity,Abundance,NA,NA,No,NA,NA,NA,
228,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Agroforestry,NA,Various,NA,Asia,India,Tropical_Subtropical,Tropical_Subtropical_Forest,11.32,76.39,Forest,NA,Lepidoptera,NA,NA,Bio_Indicators,Pollination,Visual,NA,NA,Richness,Abundance,Diversity,Evenness,No,NA,NA,NA,
229,No_Enviro_Variable,NA,NA,Low_Input,NA,NA,Veg_Fruit_Ground,NA,Cauliflower,NA,Asia,China,Tropical_Subtropical,Tropical_Subtropical_Forest,31.78,121.25,NA,NA,Plant_Dwelling,NA,NA,Biological_Control,NA,Visual,NA,NA,Abundance,Richness,Diversity,Composition,Yes,Trophic_Group,NA,NA,
230,Both,Distance_To_Habitat,NA,Unspecified,NA,NA,Cropping,NA,Mustard_Plant,NA,Asia,Nepal,Montane,Montane,NA,NA,Forest,NA,Hymenoptera,Diptera,Lepidoptera,Pollination,NA,Visual,NA,NA,Abundance,Richness,Diversity,Composition,No,NA,NA,NA,
231,Both,Proportion_Veg,Proportion_Farming,Organic,Conventional,NA,Veg_Fruit_Ground,NA,Vineyard,NA,Europe,Germany,Temperate,Temperate_Forest,NA,NA,Woodland,NA,Hymenoptera,Coleoptera,NA,Natural_Enemies,NA,Pitfall_trap,Trap_Nests,NA,Diversity,Abundance,Richness,NA,No,NA,NA,NA,
232,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Cropping,Livestock,Canola,Cattle_Grazing,North_America,Canada,Temperate,Temperate_Grasslands,NA,NA,Grassland,Forest,Hymenoptera,NA,NA,Pollination,NA,Pan_trap,Sweep_Netting,NA,Composition,Abundance,Richness,NA,No,NA,NA,NA,
233,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Veg_Fruit_Ground,NA,Watermelon,NA,North_America,USA,Temperate,Temperate_Forest,NA,NA,NA,NA,Hymenoptera,NA,NA,Pollination,NA,Visual,NA,NA,Insect_Flower_Interactions,NA,NA,NA,No,NA,NA,NA,
234,Site,Soil_Properties,Proportion_Veg,Conventional,NA,NA,Veg_Fruit_Ground,NA,Vineyard,NA,Africa,South_Africa,Desert,Desert,-33.92,18.86,NA,NA,Surface_Active,Plant_Dwelling,NA,Biodiversity_Ecosystem_Resilience,NA,Pitfall_trap,Suction,NA,Abundance,Richness,Composition,NA,No,NA,NA,NA,
